2026-09-19T20:42:47.665 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.665 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.666 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.666 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.666 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.666 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.667 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.667 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.667 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.668 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.668 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.669 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.669 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.669 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.670 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.670 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.670 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.671 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.671 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.671 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.671 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.672 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.672 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.672 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.672 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.672 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.673 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.673 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.673 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.673 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.673 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.673 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.673 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.673 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.674 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.674 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.674 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.674 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.674 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.674 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.674 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.674 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.675 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.675 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.675 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.675 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.675 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.675 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.675 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.675 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.675 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.676 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.676 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.676 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.676 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.676 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.676 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.676 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.676 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.676 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.677 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.677 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.677 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.677 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.677 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.677 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.677 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.677 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.678 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.678 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.678 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.678 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.678 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.678 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.679 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.679 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.679 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.679 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.679 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.679 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.680 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.680 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.680 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.680 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.680 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.680 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.681 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.681 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.681 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.681 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.681 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.681 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.682 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.682 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.682 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.682 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.682 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.683 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.683 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.683 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.683 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.683 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.683 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.684 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.684 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.684 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.685 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.685 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.686 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.686 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.687 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.687 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.688 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.688 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.689 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.689 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.690 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.690 4 T3=109.1 | E2E=112.8ms
